S0,P,APE,kappa,runtime,K,dt
100,10000,1.40027,2.4497e+16,0.12928,100,0.00025
100,10000,2.3183,2.57879e+16,0.143234,100,0.00025
100,10000,0.610284,2.53027e+16,0.137711,100,0.00025
100,10000,0.14693,2.6303e+16,0.147282,100,0.00025
100,10000,1.99794,2.65978e+16,0.130706,100,0.00025
100,10000,1.64716,2.64393e+16,0.13238,100,0.00025
100,10000,1.26389,2.53057e+16,0.134675,100,0.00025
100,10000,1.803,2.38515e+16,0.130659,100,0.00025
100,10000,0.26462,2.62336e+16,0.131331,100,0.00025
100,10000,0.203982,2.64663e+16,0.131966,100,0.00025
100,10000,1.55042,2.3396e+16,0.133518,100,0.00025
100,10000,0.600405,2.77469e+16,0.131308,100,0.00025
100,10000,1.16825,2.8606e+16,0.145205,100,0.00025
100,10000,0.808959,2.63205e+16,0.13091,100,0.00025
100,10000,0.439507,2.74125e+16,0.131994,100,0.00025
100,10000,1.47689,2.55109e+16,0.131092,100,0.00025
100,10000,1.8265,2.78204e+16,0.131433,100,0.00025
100,10000,0.127714,2.66037e+16,0.131509,100,0.00025
100,10000,0.378427,2.54241e+16,0.137733,100,0.00025
100,10000,2.05878,2.51262e+16,0.145765,100,0.00025
100,10000,0.364249,2.4416e+16,0.127493,100,0.00025
100,10000,4.05441,2.67153e+16,0.13283,100,0.00025
100,10000,0.770202,2.63084e+16,0.135647,100,0.00025
100,10000,1.01116,2.93459e+16,0.131049,100,0.00025
100,10000,0.716131,2.53772e+16,0.132539,100,0.00025
100,10000,0.497018,2.8815e+16,0.133058,100,0.00025
100,10000,1.69219,2.4108e+16,0.133304,100,0.00025
100,10000,0.11273,2.48084e+16,0.13232,100,0.00025
100,10000,0.408872,2.40607e+16,0.132172,100,0.00025
100,10000,0.372391,2.75214e+16,0.131449,100,0.00025
100,10000,1.12746,2.38698e+16,0.131953,100,0.00025
100,10000,1.77827,2.43232e+16,0.132801,100,0.00025
