N,P,APE,kappa,runtime,K,dt
10,10000,1.5987,6.39119e+16,0.0154274,95,0.00833333
50,10000,2.96379,1.80595e+16,0.0619486,95,0.00166667
100,10000,2.39059,1.13121e+16,0.107057,95,0.000833333
500,10000,4.22655,1.02046e+16,0.633076,95,0.000166667
1000,10000,3.14674,1.95241e+16,1.19512,95,8.33333e-05
5,10000,1.10335,8.2729e+14,0.0062797,95,0.0166667
10,10000,0.412315,2.10088e+15,0.0135235,95,0.00833333
50,10000,0.974129,4.90164e+15,0.0573935,95,0.00166667
100,10000,0.815358,5.77658e+15,0.106596,95,0.000833333
500,10000,1.28133,2.23255e+16,0.622772,95,0.000166667
1000,10000,0.00468896,1.58388e+16,1.2015,95,8.33333e-05
5,10000,3.10138,2.5225e+15,0.0060273,95,0.0166667
10,10000,4.70528,1.80536e+16,0.0115982,95,0.00833333
50,10000,0.239048,1.54092e+16,0.0544835,95,0.00166667
100,10000,2.21808,1.09469e+16,0.106305,95,0.000833333
500,10000,1.35707,1.49042e+16,0.605547,95,0.000166667
1000,10000,0.0876854,2.49935e+16,1.19812,95,8.33333e-05
5,10000,0.481237,1.39112e+15,0.0083749,95,0.0166667
10,10000,1.26124,8.51709e+15,0.0142715,95,0.00833333
50,10000,1.81277,1.94856e+16,0.0537871,95,0.00166667
100,10000,1.73724,3.05966e+16,0.110297,95,0.000833333
500,10000,4.00623,2.2968e+16,0.63716,95,0.000166667
1000,10000,4.8051,1.34358e+16,1.20261,95,8.33333e-05
5,10000,0.610548,1.5152e+15,0.0081085,95,0.0166667
10,10000,0.980716,8.28287e+15,0.0135763,95,0.00833333
50,10000,1.86375,1.86503e+16,0.0535727,95,0.00166667
100,10000,0.331277,1.6184e+16,0.104215,95,0.000833333
500,10000,2.76745,7.99772e+15,0.613113,95,0.000166667
1000,10000,0.62429,1.83056e+16,1.23472,95,8.33333e-05
5,10000,3.58928,1.88488e+15,0.0072321,95,0.0166667
10,10000,5.01567,1.95685e+16,0.013459,95,0.00833333
50,10000,1.33559,7.37294e+15,0.0582256,95,0.00166667
100,10000,2.49821,1.22889e+16,0.106623,95,0.000833333
500,10000,0.250342,2.21525e+16,0.600547,95,0.000166667
1000,10000,6.57475,2.02655e+16,1.24385,95,8.33333e-05
5,10000,5.2086,1.95429e+15,0.0067721,95,0.0166667
10,10000,2.24811,1.09316e+16,0.0132715,95,0.00833333
50,10000,0.814975,3.2943e+16,0.0577649,95,0.00166667
100,10000,0.321405,8.17333e+15,0.106623,95,0.000833333
500,10000,2.12072,1.51032e+16,0.608791,95,0.000166667
1000,10000,4.7365,2.23839e+16,1.20457,95,8.33333e-05
5,10000,2.52637,2.6215e+15,0.0103328,95,0.0166667
