P,N,S0,K,T,r,v,APE
10000,10,100.0,102.5,1.0,0.05,0.2,0.9623957953835546
10000,10,100.0,102.5,1.0,0.05,0.2,0.7050933583365594
10000,10,100.0,102.5,1.0,0.05,0.2,1.1805609420368262
10000,10,100.0,102.5,1.0,0.05,0.2,0.8378583212882247
10000,10,100.0,102.5,1.0,0.05,0.2,1.0160872015855484
10000,10,100.0,102.5,1.0,0.05,0.2,0.7017159671849506
10000,10,100.0,102.5,1.0,0.05,0.2,0.9944380684923985
10000,10,100.0,102.5,1.0,0.05,0.2,1.2898196165996336
10000,10,100.0,102.5,1.0,0.05,0.2,1.544659666201478
10000,10,100.0,102.5,1.0,0.05,0.2,0.6959528490722775
10000,10,100.0,102.5,1.0,0.05,0.2,1.083300395875757
10000,10,100.0,102.5,1.0,0.05,0.2,0.9743293180231649
10000,10,100.0,102.5,1.0,0.05,0.2,1.2744445159957538
10000,10,100.0,102.5,1.0,0.05,0.2,0.8223452327690833
10000,10,100.0,102.5,1.0,0.05,0.2,1.2435446575206284
10000,10,100.0,102.5,1.0,0.05,0.2,0.8438921505430139
10000,10,100.0,102.5,1.0,0.05,0.2,1.2397851992180455
10000,10,100.0,102.5,1.0,0.05,0.2,0.8937256002247984
10000,10,100.0,102.5,1.0,0.05,0.2,1.0391587850190471
10000,10,100.0,102.5,1.0,0.05,0.2,0.7829531132659747
10000,10,100.0,102.5,1.0,0.05,0.2,0.9533507820866628
10000,10,100.0,102.5,1.0,0.05,0.2,0.8272966294182174
10000,10,100.0,102.5,1.0,0.05,0.2,1.4444882136557802
10000,10,100.0,102.5,1.0,0.05,0.2,1.35863244447543
10000,10,100.0,102.5,1.0,0.05,0.2,0.5195717383049753
10000,10,100.0,102.5,1.0,0.05,0.2,1.4566300057842712
10000,10,100.0,102.5,1.0,0.05,0.2,0.9980100722275607
10000,10,100.0,102.5,1.0,0.05,0.2,0.5830236185241019
10000,10,100.0,102.5,1.0,0.05,0.2,1.282691651995382
10000,10,100.0,102.5,1.0,0.05,0.2,1.024112491563073
10000,10,100.0,102.5,1.0,0.05,0.2,0.20570996091061095
10000,10,100.0,102.5,1.0,0.05,0.2,0.5011323759307825
10000,10,100.0,102.5,1.0,0.05,0.2,1.1907790798818227
10000,10,100.0,102.5,1.0,0.05,0.2,1.3304217196539994
10000,10,100.0,102.5,1.0,0.05,0.2,0.8535809732524309
10000,10,100.0,102.5,1.0,0.05,0.2,1.1053855619027249
10000,10,100.0,102.5,1.0,0.05,0.2,1.4245508449926179
10000,10,100.0,102.5,1.0,0.05,0.2,1.6753441960146567
10000,10,100.0,102.5,1.0,0.05,0.2,1.4415817768014978
10000,10,100.0,102.5,1.0,0.05,0.2,1.852539290840743
10000,10,100.0,102.5,1.0,0.05,0.2,2.0090098809812305
10000,10,100.0,102.5,1.0,0.05,0.2,1.138080409002511
10000,10,100.0,102.5,1.0,0.05,0.2,1.0805968882916717
10000,10,100.0,102.5,1.0,0.05,0.2,0.9347797110345923
10000,10,100.0,102.5,1.0,0.05,0.2,1.959956420625982
10000,10,100.0,102.5,1.0,0.05,0.2,1.5940018639770712
