Steps,Paths,AbsPercentError,Kappa,Runtime
25,1000,3.7645,1.21992e+13,0.0239701
50,1000,1.21567,1.82219e+16,0.0498957
100,1000,3.67465,2.05795e+14,0.08912
150,1000,10.5071,7.12033e+14,0.145453
250,1000,1.07899,5.25484e+13,0.246203
500,1000,3.05934,1.28673e+15,0.539498
750,1000,0.331614,3.86428e+14,0.857734
1000,1000,0.81817,3.9076e+15,1.16481
1,1000,5.7439,0,0.0013914
5,1000,0.615775,5.5495e+11,0.0054721
25,1000,2.55986,1.01451e+13,0.0206534
50,1000,1.69314,1.54793e+14,0.0417142
100,1000,1.33231,8.33363e+14,0.0918296
150,1000,1.64603,4.00438e+13,0.127243
250,1000,3.43379,4.62405e+14,0.221213
500,1000,5.32346,1.02644e+15,0.537193
750,1000,3.50284,3.96468e+14,0.84741
1000,1000,2.32842,1.19875e+15,1.23574
1,1000,5.92162,0,0.0011188
5,1000,4.1579,6.67862e+11,0.0051605
25,1000,2.40684,7.91036e+13,0.0215944
50,1000,1.17826,1.56598e+14,0.0553418
100,1000,3.8213,3.60433e+13,0.0871636
150,1000,5.43532,2.10918e+14,0.139016
250,1000,12.2883,1.2439e+14,0.25722
500,1000,8.78319,4.18652e+13,0.548496
750,1000,6.76412,8.25479e+14,0.827925
1000,1000,3.35796,2.35437e+15,1.09018
1,1000,5.02706,0,0.0011228
5,1000,7.89023,7.02788e+11,0.0065155
25,1000,2.24987,2.61891e+13,0.0249176
50,1000,1.8229,4.75144e+14,0.0472573
100,1000,2.65874,1.05939e+13,0.0901578
150,1000,2.6768,2.98637e+13,0.140729
250,1000,6.5407,5.881e+13,0.243126
500,1000,10.8859,9.74987e+14,0.531649
750,1000,2.35152,1.07802e+15,0.860468
1000,1000,2.72958,1.17104e+14,1.1547
1,1000,7.51697,0,0.0012991
5,1000,4.87268,5.80823e+11,0.0043778
25,1000,13.3691,1.00851e+13,0.023847
50,1000,0.70299,7.90346e+14,0.0453276
100,1000,9.50611,2.60582e+14,0.0842196
150,1000,3.95869,3.39463e+14,0.131288
250,1000,1.03565,1.40482e+15,0.253494
500,1000,6.60881,3.68969e+15,0.498858
750,1000,6.97045,1.3908e+14,0.874335
1000,1000,10.6701,7.11985e+14,1.22312
1,1000,1.21747,0,0.0012785
5,1000,2.5554,7.14559e+11,0.0047619
25,1000,7.99124,4.82635e+12,0.0237161
50,1000,4.79436,3.86263e+15,0.0437006
100,1000,3.24119,7.95777e+14,0.0977769
150,1000,8.63371,1.8304e+15,0.147078
250,1000,3.75882,8.75423e+15,0.246015
500,1000,2.86014,3.6306e+13,0.565867
750,1000,8.66044,4.20004e+14,0.856532
1000,1000,0.677488,4.41612e+13,1.11312
1,1000,1.8015,0,0.0011184
5,1000,2.90316,6.34607e+11,0.0055523
25,1000,1.6591,1.24186e+13,0.0235703
50,1000,3.92414,1.31763e+14,0.0425278
100,1000,6.90935,1.42583e+14,0.0987463
150,1000,1.25404,1.68135e+14,0.152002
250,1000,0.74172,1.79426e+14,0.23075
500,1000,5.11872,4.50786e+14,0.498959
750,1000,2.9593,3.13441e+14,0.836705
1000,1000,1.46028,7.53553e+14,1.1129
1,1000,0.307871,0,0.001097
5,1000,7.03805,4.2068e+11,0.0044314
25,1000,8.21201,1.18505e+13,0.0216587
50,1000,9.70026,3.24256e+13,0.0388905
100,1000,8.34359,9.44078e+13,0.0869442
150,1000,9.11443,2.01153e+14,0.131457
250,1000,2.47375,3.81065e+14,0.226441
500,1000,4.60283,5.18749e+14,0.544815
750,1000,0.325025,7.91125e+13,0.773448
1000,1000,6.07237,1.66318e+14,1.10652
1,1000,2.62827,0,0.0011872
5,1000,3.00303,1.15026e+12,0.0054385
25,1000,0.979795,9.22471e+12,0.0215081
50,1000,2.87497,3.27244e+13,0.0412709
100,1000,12.4513,3.00953e+14,0.0896519
150,1000,9.49254,1.09689e+14,0.13161
250,1000,12.9017,1.56647e+13,0.228967
500,1000,3.28432,1.18656e+15,0.506
750,1000,4.01575,4.54194e+14,0.792839
1000,1000,0.827928,2.72832e+14,1.15843
1,1000,1.22043,0,0.0016774
5,1000,4.96537,4.79848e+11,0.0059924
25,1000,3.841,1.07482e+13,0.0230144
50,1000,2.28547,3.48677e+13,0.0425797
100,1000,0.491708,8.67902e+12,0.0794785
150,1000,0.860552,1.55947e+13,0.130389
250,1000,8.82241,1.56899e+15,0.263681
500,1000,11.6039,3.8453e+13,0.529503
750,1000,3.23257,1.02002e+15,0.900092
1000,1000,1.39452,1.17502e+14,1.17525
1,1000,9.75355,0,0.0011327
5,1000,0.57146,1.14268e+12,0.0053498
25,1000,7.3222,6.0463e+12,0.0209289
50,1000,1.91514,3.28499e+13,0.0433593
100,1000,0.538107,5.21547e+13,0.0855281
150,1000,3.67665,2.93693e+15,0.132566
250,1000,3.4819,9.42059e+13,0.224692
500,1000,3.49308,2.00091e+14,0.512275
750,1000,0.0725358,6.80847e+14,0.893032
1000,1000,0.965485,3.28378e+14,1.18547
1,1000,4.57524,0,0.0011488
5,1000,1.51264,9.69138e+11,0.0054036
25,1000,4.82791,5.53433e+12,0.0234852
50,1000,0.100111,5.83501e+13,0.0452127
100,1000,0.152215,3.98425e+13,0.0933911
150,1000,0.7186,1.23977e+15,0.130377
250,1000,10.1,4.77869e+14,0.227791
500,1000,1.16366,4.41125e+14,0.525305
750,1000,5.18874,1.43888e+14,0.784175
1000,1000,8.0007,8.97465e+14,1.23734
1,1000,10.1583,0,0.0011582
5,1000,4.14389,9.15252e+11,0.00515
25,1000,5.04568,6.02177e+12,0.0212419
50,1000,2.32344,2.32762e+13,0.0394692
100,1000,3.58789,3.75931e+13,0.0887213
150,1000,0.328369,4.55836e+13,0.136332
250,1000,0.274526,7.36929e+13,0.255905
500,1000,6.66178,1.39919e+15,0.505281
750,1000,10.019,1.3808e+15,0.844225
1000,1000,11.7207,4.08303e+13,1.12879
1,1000,5.13175,0,0.0011156
5,1000,0.3097,4.36557e+11,0.005449
25,1000,7.26699,1.47416e+13,0.023028
50,1000,4.61561,4.49148e+15,0.0428932
100,1000,3.21511,1.19045e+14,0.0882149
150,1000,1.40663,8.57312e+13,0.129077
250,1000,9.01467,3.5466e+13,0.24461
500,1000,5.18387,2.35272e+14,0.497965
750,1000,3.44843,1.11582e+15,0.79356
1000,1000,3.95246,1.85813e+15,1.16404
1,1000,4.98829,0,0.0011072
5,1000,2.96017,5.31739e+11,0.0047674
25,1000,4.76133,1.82844e+13,0.0202739
50,1000,5.75859,1.58648e+14,0.0388586
100,1000,5.35638,6.44154e+14,0.0893788
150,1000,2.55608,2.24391e+15,0.128175
250,1000,10.5342,3.72324e+15,0.212888
500,1000,2.20026,3.51964e+15,0.519115
750,1000,2.51343,2.07797e+15,0.825837
1000,1000,5.40838,5.99689e+14,1.10917
1,1000,1.71723,0,0.0011666
5,1000,0.164191,5.10933e+11,0.0051258
25,1000,2.09787,5.38089e+12,0.0251178
50,1000,0.00995472,2.70399e+14,0.0403546
100,1000,0.49276,5.74685e+13,0.0856061
150,1000,3.33931,2.19141e+14,0.132852
250,1000,2.38947,2.78116e+14,0.217317
500,1000,1.56534,4.14916e+14,0.499578
750,1000,1.5979,1.89247e+15,0.775908
1000,1000,0.968338,1.05251e+15,1.16575
1,1000,7.37257,0,0.0009266
5,1000,2.89002,4.67935e+11,0.0050527
25,1000,0.815878,1.53932e+13,0.0206206
50,1000,2.10722,3.37316e+14,0.0413395
100,1000,4.52408,6.91953e+13,0.0896471
150,1000,1.02378,2.57836e+14,0.125873
250,1000,1.9288,9.85222e+13,0.221679
500,1000,3.28813,6.50907e+13,0.50224
750,1000,1.10675,3.93437e+14,0.788957
1000,1000,0.126376,2.90024e+15,1.19443
1,1000,11.5843,0,0.0010069
5,1000,3.83151,3.87167e+11,0.0042607
25,1000,7.00511,1.24516e+13,0.0201672
50,1000,3.53384,4.84649e+14,0.0385849
100,1000,9.08802,2.33967e+13,0.0916464
150,1000,5.61678,1.50024e+14,0.135115
250,1000,3.91816,1.33319e+14,0.238815
500,1000,15.4004,1.17734e+15,0.521199
750,1000,11.6989,1.78887e+15,0.831109
1000,1000,1.53039,2.21286e+14,1.01188
1,1000,7.50428,0,0.0011124
5,1000,7.68554,6.58234e+11,0.005469
25,1000,2.95222,1.74942e+13,0.0213246
50,1000,5.32146,2.78499e+14,0.040292
100,1000,5.13646,6.86477e+13,0.0884434
150,1000,7.3655,1.33044e+14,0.16344
250,1000,1.21671,6.8389e+14,0.233258
500,1000,6.86303,2.86112e+15,0.496949
750,1000,15.2252,3.22218e+14,0.825121
1000,1000,1.84949,1.26836e+14,1.10405
1,1000,11.3493,0,0.0010411
5,1000,0.215947,7.15952e+11,0.0042531
25,1000,0.432859,1.42634e+13,0.0214322
50,1000,0.368553,4.83901e+13,0.0408089
100,1000,11.291,1.13526e+14,0.0932413
150,1000,4.15519,3.75235e+14,0.130436
250,1000,10.45,3.83476e+13,0.247048
500,1000,4.78847,3.24934e+15,0.524473
750,1000,7.23316,6.55533e+14,0.835876
1000,1000,2.85641,1.27741e+15,1.13177
