S0,K,T,r,v,price
100,100,0.08,0.1,0.21,2.0442436354308597
100,100,0.08,0.1,0.29,2.930275396776044
100,100,0.08,0.1,0.37,3.819607660370659
100,100,0.08,0.1,0.45,4.7103290701273455
100,100,0.08,0.1,0.53,5.60154383353596
100,100,0.08,0.1,0.61,6.492737689863749
100,100,0.08,0.1,0.69,7.383571885537341
100,100,0.08,0.1,0.8,8.607426437327645
100,103,0.08,0.01,0.05,2.999999999999978
100,103,0.08,0.01,0.13,3.391760048733488
100,103,0.08,0.01,0.21,4.1408925060968205
100,103,0.08,0.01,0.29,4.976365549694218
100,103,0.08,0.01,0.37,5.8438979557788855
100,103,0.08,0.01,0.45,6.726410513761438
100,103,0.08,0.01,0.53,7.616856328762284
100,103,0.08,0.01,0.61,8.511775112905758
100,103,0.08,0.01,0.69,9.40924232699285
100,103,0.08,0.01,0.8,10.645330585101249
100,103,0.08,0.025,0.05,2.999999999999956
100,103,0.08,0.025,0.13,3.327538704214377
100,103,0.08,0.025,0.21,4.074380672071758
100,103,0.08,0.025,0.29,4.910828271097882
100,103,0.08,0.025,0.37,5.779186273361688
100,103,0.08,0.025,0.45,6.662215491786873
100,103,0.08,0.025,0.53,7.552941408114303
100,103,0.08,0.025,0.61,8.447972149191887
100,103,0.08,0.025,0.69,9.345432233726399
100,103,0.08,0.025,0.8,10.581374215797064
100,103,0.08,0.04,0.05,2.9999999999999547
100,103,0.08,0.04,0.13,3.2715689562355292
100,103,0.08,0.04,0.21,4.012250762609109
100,103,0.08,0.04,0.29,4.848460604544785
100,103,0.08,0.04,0.37,5.7170513052934755
100,103,0.08,0.04,0.45,6.600245451578637
100,103,0.08,0.04,0.53,7.491018140778164
100,103,0.08,0.04,0.61,8.385996333691518
100,103,0.08,0.04,0.69,9.283326594626633
100,103,0.08,0.04,0.8,10.518998078266735
100,103,0.08,0.055,0.05,2.999999999999955
