N,P,APE,kappa,runtime,K,runType
1,10000,8.07728,0.0,0.0041533,105.0,1.0
1,10000,4.5807,0.0,0.0075177,97.5,1.0
1,10000,7.88926,0.0,0.0052039,105.0,1.0
1,10000,4.5912,0.0,0.0078085,97.5,1.0
1,10000,7.72552,0.0,0.0032438,105.0,1.0
1,10000,4.56492,0.0,0.007642,97.5,1.0
1,10000,7.8908,0.0,0.0036947,105.0,1.0
1,10000,8.02808,0.0,0.0038966,105.0,1.0
1,10000,7.90892,0.0,0.0030594,105.0,1.0
1,10000,4.56109,0.0,0.0065455,97.5,1.0
1,10000,7.98865,0.0,0.0052588,105.0,1.0
1,10000,4.63733,0.0,0.0076483,97.5,1.0
1,10000,7.94925,0.0,0.0033744,105.0,1.0
1,10000,4.51955,0.0,0.006563,97.5,1.0
1,10000,7.89124,0.0,0.0039732,105.0,1.0
1,10000,4.51958,0.0,0.0097509,97.5,1.0
1,10000,8.04289,0.0,0.0041563,105.0,1.0
1,10000,4.64787,0.0,0.0074996,97.5,1.0
1,10000,7.96401,0.0,0.0032133,105.0,1.0
1,10000,4.45078,0.0,0.0071802,97.5,1.0
1,10000,4.50241,0.0,0.0064647,97.5,1.0
1,10000,7.57444,0.0,0.004056,105.0,1.0
1,10000,4.63875,0.0,0.0069917,97.5,1.0
1,10000,7.96394,0.0,0.0038684,105.0,1.0
1,10000,4.57469,0.0,0.0081917,97.5,1.0
1,10000,7.91755,0.0,0.0037204,105.0,1.0
1,10000,4.54454,0.0,0.0087287,97.5,1.0
1,10000,7.89091,0.0,0.0046105,105.0,1.0
1,10000,4.59201,0.0,0.0085722,97.5,1.0
1,10000,7.71204,0.0,0.0047131,105.0,1.0
1,10000,4.53177,0.0,0.0087574,97.5,1.0
1,10000,8.04609,0.0,0.0057929,105.0,1.0
1,10000,4.57847,0.0,0.0088921,97.5,1.0
1,10000,7.78017,0.0,0.0042865,105.0,1.0
1,10000,4.65538,0.0,0.0064825,97.5,1.0
1,10000,7.95401,0.0,0.0032485,105.0,1.0
1,10000,4.55683,0.0,0.0065489,97.5,1.0
1,10000,7.88158,0.0,0.0060291,105.0,1.0
1,10000,4.57669,0.0,0.0061964,97.5,1.0
1,10000,7.93476,0.0,0.0034076,105.0,1.0
1,10000,4.62498,0.0,0.0071176,97.5,1.0
1,10000,7.94823,0.0,0.0034429,105.0,1.0
1,10000,4.57247,0.0,0.0063051,97.5,1.0
1,10000,7.90759,0.0,0.0033969,105.0,1.0
1,10000,4.56285,0.0,0.0074634,97.5,1.0
1,10000,7.83941,0.0,0.0033186,105.0,1.0
1,10000,4.63087,0.0,0.006554,97.5,1.0
1,10000,7.83869,0.0,0.0060478,105.0,1.0
1,10000,7.86981,0.0,0.0054899,105.0,1.0
1,10000,3.68474,0.0,0.0071551,95.0,1.0
1,10000,5.56735,0.0,0.0071403,100.0,1.0
1,10000,6.52786,0.0,0.011939,102.5,1.0
1,10000,3.67121,0.0,0.007597,95.0,1.0
1,10000,6.65244,0.0,0.0034789,102.5,1.0
1,10000,3.65167,0.0,0.0063987,95.0,1.0
1,10000,3.66167,0.0,0.0061377,95.0,1.0
1,10000,6.63862,0.0,0.003568,102.5,1.0
1,10000,3.75078,0.0,0.0061881,95.0,1.0
1,10000,6.5347,0.0,0.004026,102.5,1.0
1,10000,6.71765,0.0,0.0033467,102.5,1.0
1,10000,3.74975,0.0,0.0082886,95.0,1.0
1,10000,6.85621,0.0,0.0032067,102.5,1.0
1,10000,3.66706,0.0,0.0065013,95.0,1.0
1,10000,6.71075,0.0,0.0032936,102.5,1.0
1,10000,3.7313,0.0,0.0068185,95.0,1.0
1,10000,6.58687,0.0,0.0042096,102.5,1.0
1,10000,6.55203,0.0,0.0039019,102.5,1.0
1,10000,3.70986,0.0,0.0075902,95.0,1.0
1,10000,6.67015,0.0,0.0039081,102.5,1.0
1,10000,3.76042,0.0,0.0062331,95.0,1.0
1,10000,6.80353,0.0,0.0038068,102.5,1.0
1,10000,3.75858,0.0,0.0073645,95.0,1.0
1,10000,6.76528,0.0,0.0046814,102.5,1.0
1,10000,3.69183,0.0,0.0073235,95.0,1.0
1,10000,3.6781,0.0,0.0070462,95.0,1.0
1,10000,6.5563,0.0,0.0039777,102.5,1.0
1,10000,6.75293,0.0,0.0039368,102.5,1.0
1,10000,3.68785,0.0,0.0067186,95.0,1.0
1,10000,3.71398,0.0,0.006322,95.0,1.0
1,10000,3.77407,0.0,0.0063635,95.0,1.0
1,10000,6.82985,0.0,0.0031476,102.5,1.0
1,10000,6.62368,0.0,0.0036132,102.5,1.0
1,10000,6.58095,0.0,0.0038244,102.5,1.0
1,10000,3.75177,0.0,0.0068396,95.0,1.0
1,10000,3.7149,0.0,0.0083028,95.0,1.0
1,10000,6.79172,0.0,0.0028622,102.5,1.0
1,10000,3.71293,0.0,0.0073738,95.0,1.0
1,10000,3.69949,0.0,0.0069891,95.0,1.0
1,10000,6.49315,0.0,0.0036378,102.5,1.0
1,10000,3.72882,0.0,0.006992,95.0,1.0
1,10000,3.74709,0.0,0.0066569,95.0,1.0
1,10000,6.39287,0.0,0.0029112,102.5,1.0
1,10000,6.60393,0.0,0.0037519,102.5,1.0
1,10000,6.67916,0.0,0.0033713,102.5,1.0
1,10000,3.76417,0.0,0.0093474,95.0,1.0
1,10000,3.74995,0.0,0.0069437,95.0,1.0
1,10000,6.75491,0.0,0.0040631,102.5,1.0
1,10000,6.73161,0.0,0.0041113,102.5,1.0
1,10000,3.75495,0.0,0.0074701,95.0,1.0
